Startbahnhof;Zugnummer;Zielbahnhof;Ankunft_Plan;Ankunft_tatsächlich;Verspätung
Koblenz Hbf;RE 5 (28532);Köln Hbf;14.07.2025, 20:28;14.07.2025, 22:22;114
Koblenz Hbf;RE 5 (28536);Köln Hbf;14.07.2025, 22:28;14.07.2025, 23:38;70
Gerolstein;RE 22 (10010);Köln Hbf;15.07.2025, 08:39;15.07.2025, 09:41;63
Krefeld Hbf;RE 7 (17414);Köln Hbf;15.07.2025, 11:18;15.07.2025, 12:24;66
Oberhausen Hbf;RE 5 (28519);Köln Hbf;15.07.2025, 14:29;15.07.2025, 15:45;77
Minden(Westf);RE 6 (89720);Köln Hbf;15.07.2025, 14:52;15.07.2025, 15:54;62
Krefeld Hbf;RE 7 (17422);Köln Hbf;15.07.2025, 15:18;15.07.2025, 16:37;79
Oberhausen Hbf;RE 5 (28521);Köln Hbf;15.07.2025, 15:29;15.07.2025, 16:46;78
Minden(Westf);RE 6 (89722);Köln Hbf;15.07.2025, 15:50;15.07.2025, 17:10;80
Aachen Hbf;RE 1 (26827);Köln Hbf;15.07.2025, 16:43;15.07.2025, 17:54;71
Oberhausen Hbf;RE 5 (28533);Köln Hbf;15.07.2025, 21:29;15.07.2025, 22:46;78
Bonn-Mehlem;RB 48 (17370);Köln Hbf;15.07.2025, 21:22;15.07.2025, 23:00;98
Koblenz Hbf;RE 5 (28534);Köln Hbf;15.07.2025, 21:28;15.07.2025, 23:11;103
Koblenz Hbf;RE 5 (28536);Köln Hbf;15.07.2025, 22:28;15.07.2025, 23:48;81
Koblenz Hbf;RE 5 (28538);Köln Hbf;15.07.2025, 23:28;16.07.2025, 00:48;81
Bonn-Mehlem;RB 48 (17318);Köln Hbf;16.07.2025, 08:22;16.07.2025, 09:57;96
Koblenz Hbf;RE 5 (28508);Köln Hbf;16.07.2025, 08:28;16.07.2025, 10:10;103
Bonn-Mehlem;RB 48 (17322);Köln Hbf;16.07.2025, 09:22;16.07.2025, 10:27;66
Siegen Hbf;RE 9 (10926);Köln Hbf;16.07.2025, 18:37;16.07.2025, 19:53;76
Rheine;RE 7 (17419);Köln Hbf;17.07.2025, 14:38;17.07.2025, 15:59;81
Köln-Mülheim;Bus S11 (1117);Köln Hbf (Breslauer Platz);17.07.2025, 21:53;17.07.2025, 22:53;60
Hamm(Westf)Hbf;TRI RE3 (89462);Köln Hbf;17.07.2025, 20:52;17.07.2025, 23:01;129
Hamm(Westf)Hbf;RE 1 (26834);Köln Hbf;17.07.2025, 22:12;17.07.2025, 23:18;66
Solingen Hbf;RB 48 (17375);Köln Hbf;17.07.2025, 22:33;17.07.2025, 23:42;69
Köln Messe/Deutz;RE 1 (26856);Köln Hbf;17.07.2025, 22:40;17.07.2025, 23:47;68
